Day,Month,Year,Venue,City,Country,Tour,Latitude,Longitude
8,Sep,1986,The Spectrum,Philadelphia,USA,world tour 85/86,39.9527237,-75.1635262
11,Sep,1986,Madison Square Garden,New York,USA,world tour 85/86,40.7127281,-74.0060152
12,Sep,1986,Madison Square Garden,New York,USA,world tour 85/86,40.7127281,-74.0060152
13,Sep,1986,Madison Square Garden,New York,USA,world tour 85/86,40.7127281,-74.0060152
14,Sep,1986,Madison Square Garden,New York,USA,world tour 85/86,40.7127281,-74.0060152
16,Sep,1986,The Omni,Atlanta,USA,world tour 85/86,33.7544657,-84.3898151
20,Sep,1986,Leon County Civic Center,Tallahassee,USA,world tour 85/86,30.4380832,-84.2809332
21,Sep,1986,USF Sun Dome,Tampa,USA,world tour 85/86,27.9477595,-82.458444
23,Sep,1986,Starwood Amphitheatre,Nashville,USA,world tour 85/86,36.1622767,-86.7742984
26,Sep,1986,The Summit,Houston,USA,world tour 85/86,29.7589382,-95.3676974
27,Sep,1986,Reunion Arena,Dallas,USA,world tour 85/86,32.7762719,-96.7968559
30,Sep,1986,McNichols Arena,Denver,USA,world tour 85/86,39.7392364,-104.984862
3,Oct,1986,Oakland-Alameda County Coliseum Arena,Oakland,USA,world tour 85/86,37.8044557,-122.271356
4,Oct,1986,Pacific Amphitheater,Costa Mesa,USA,world tour 85/86,33.6633386,-117.903317
7,Oct,1986,Universal Amphitheatre,Los Angeles,USA,world tour 85/86,34.0536909,-118.242766
10,Oct,1986,Universal Amphitheatre,Los Angeles,USA,world tour 85/86,34.0536909,-118.242766
12,Oct,1986,Hollywood Bowl,Los Angeles,USA,world tour 85/86,34.0536909,-118.242766
5,Nov,1986,Brisbane Entertainment Center,Brisbane,Australia,Tour De Force,-27.4689623,153.0235009
6,Nov,1986,Brisbane Entertainment Center,Brisbane,Australia,Tour De Force,-27.4689623,153.0235009
7,Nov,1986,Brisbane Entertainment Center,Brisbane,Australia,Tour De Force,-27.4689623,153.0235009
10,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
11,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
12,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
13,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
15,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
16,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
17,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
18,Nov,1986,The Sports And Entertainment Center,Melbourne,Australia,Tour De Force,-37.8142454,144.9631732
21,Nov,1986,Football Park,Adelaide,Australia,Tour De Force,-34.9281805,138.5999312
25,Nov,1986,Perth Entertainment Center,Perth,Australia,Tour De Force,-31.9558967,115.8605784
26,Nov,1986,Perth Entertainment Center,Perth,Australia,Tour De Force,-31.9558967,115.8605784
1,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
2,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
3,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
4,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
6,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
7,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
8,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
9,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
11,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
12,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
13,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
14,Dec,1986,Entertainment Center,Sydney,Australia,Tour De Force,-33.8698439,151.2082848
1,Apr,1987,Wembley Arena,London,England,aids benefit show,51.4893335,-0.1440551
3,Jun,1988,Sotheby's,London,England,private party for reg strikes back album,51.4893335,-0.1440551
5,Jun,1988,Royal Albert Hall,London,England,prince's trust concert,51.4893335,-0.1440551
6,Jun,1988,Royal Albert Hall,London,England,prince's trust concert,51.4893335,-0.1440551
24,Jun,1988,The Axis Club,Boston,USA,private party - 30 minute set,42.3554334,-71.060511
8,Jul,1988,Century Plaza Hotel,Los Angeles,USA,athletes and entertainers for kids benefit,34.0536909,-118.242766
9,Sep,1988,Miami Arena,Miami,USA,USA 1988 Tour,25.7741728,-80.19362
10,Sep,1988,Miami Arena,Miami,USA,USA 1988 Tour,25.7741728,-80.19362
11,Sep,1988,USF Sun Dome,Tampa,USA,USA 1988 Tour,27.9477595,-82.458444
13,Sep,1988,Merriweather Post Pavilion,Columbia,USA,USA 1988 Tour,34.000754,-81.0352313
14,Sep,1988,Blossom Music Center,Cuyahoga Falls,USA,USA 1988 Tour,41.1362729,-81.4828123
16,Sep,1988,Poplar Creek Music Theatre,Chicago,USA,USA 1988 Tour,41.8755616,-87.6244212
17,Sep,1988,Poplar Creek Music Theatre,Chicago,USA,USA 1988 Tour,41.8755616,-87.6244212
18,Sep,1988,Marcus Amphitheater,Milwaukee,USA,USA 1988 Tour,43.0386475,-87.9090751
20,Sep,1988,Fiddlers Green Amphitheater,Denver,USA,USA 1988 Tour,39.7392364,-104.984862
23,Sep,1988,Hollywood Bowl,Los Angeles,USA,USA 1988 Tour,34.0536909,-118.242766
24,Sep,1988,Hollywood Bowl,Los Angeles,USA,USA 1988 Tour,34.0536909,-118.242766
25,Sep,1988,Hollywood Bowl,Los Angeles,USA,USA 1988 Tour,34.0536909,-118.242766
27,Sep,1988,Pacific Amphitheatre,Costa Mesa,USA,USA 1988 Tour,33.6633386,-117.903317
30,Sep,1988,Starplex Amphitheater,Dallas,USA,USA 1988 Tour,32.7762719,-96.7968559
1,Oct,1988,The Summit,Houston,USA,USA 1988 Tour,29.7589382,-95.3676974
4,Oct,1988,The Spectrum,Philadelphia,USA,USA 1988 Tour,39.9527237,-75.1635262
5,Oct,1988,The Spectrum,Philadelphia,USA,USA 1988 Tour,39.9527237,-75.1635262
7,Oct,1988,Hartford Civic Center,Hartford,USA,USA 1988 Tour,41.764582,-72.6908547
8,Oct,1988,The Centrum,Worcester,USA,USA 1988 Tour,42.2625621,-71.8018877
9,Oct,1988,The Centrum,Worcester,USA,USA 1988 Tour,42.2625621,-71.8018877
10,Oct,1988,The Centrum,Worcester,USA,USA 1988 Tour,42.2625621,-71.8018877
12,Oct,1988,The Palace Of Auburn Hills,Auburn Hills,USA,USA 1988 Tour,42.6875323,-83.2341028
13,Oct,1988,The Palace Of Auburn Hills,Auburn Hills,USA,USA 1988 Tour,42.6875323,-83.2341028
14,Oct,1988,The Palace Of Auburn Hills,Auburn Hills,USA,USA 1988 Tour,42.6875323,-83.2341028
15,Oct,1988,The Palace Of Auburn Hills,Auburn Hills,USA,USA 1988 Tour,42.6875323,-83.2341028
17,Oct,1988,Madison Square Garden,New York,USA,USA 1988 Tour,40.7127281,-74.0060152
18,Oct,1988,Madison Square Garden,New York,USA,USA 1988 Tour,40.7127281,-74.0060152
20,Oct,1988,Madison Square Garden,New York,USA,USA 1988 Tour,40.7127281,-74.0060152
21,Oct,1988,Madison Square Garden,New York,USA,USA 1988 Tour,40.7127281,-74.0060152
22,Oct,1988,Madison Square Garden,New York,USA,USA 1988 Tour,40.7127281,-74.0060152
31,Oct,1988,Rainbow Hall,Nagoya,Japan,Japan Tour with Eric Clapton,35.1851045,136.8998438
2,Nov,1988,Tokyo Dome,Tokyo,Japan,Japan Tour with Eric Clapton,35.6768601,139.7638947
4,Nov,1988,Budohkan Theatre,Tokyo,Japan,Japan Tour with Eric Clapton,35.6768601,139.7638947
5,Nov,1988,Osaka Stadium,Osaka,Japan,Japan Tour with Eric Clapton,34.6937569,135.5014539
20,Mar,1989,Halle Tony Garier,Lyons,France,The World Tour,49.5032625,1.5854911
23,Mar,1989,Palais Omnisports,Paris,France,The World Tour,48.8588897,2.320041
24,Mar,1989,Palais Omnisports,Paris,France,The World Tour,48.8588897,2.320041
26,Mar,1989,Palais Omnisports,Paris,France,The World Tour,48.8588897,2.320041
27,Mar,1989,Palais Omnisports,Paris,France,The World Tour,48.8588897,2.320041
29,Mar,1989,Vorst Nationaal,Brussels,Belgium,The World Tour,50.8465573,4.351697
30,Mar,1989,Vorst Nationaal,Brussels,Belgium,The World Tour,50.8465573,4.351697
1,Apr,1989,Philipshalle,Dusseldorf,Germany,The World Tour,51.2254018,6.7763137
2,Apr,1989,Ostseehalle,Kiel,Germany,The World Tour,54.3227085,10.135555
4,Apr,1989,Deuchland Hall,Berlin,Germany,The World Tour,52.5173885,13.3951309
6,Apr,1989,Sporthalle,Hamburg,Germany,The World Tour,53.550341,10.000654
7,Apr,1989,Brøndbyhallen,Brøndby,Denmark,The World Tour,55.644111,12.4217135
9,Apr,1989,The Globe,Stockholm,Sweden,The World Tour,59.3251172,18.0710935
10,Apr,1989,Drammenshalle,Oslo,Norway,The World Tour,59.9133301,10.7389701
12,Apr,1989,Grugahalle,Essen,Germany,The World Tour,51.4582235,7.0158171
13,Apr,1989,Sporthalle,Koln,Germany,The World Tour,50.938361,6.959974
14,Apr,1989,Festhalle,Frankfurt,Germany,The World Tour,50.1106444,8.6820917
15,Apr,1989,Festhalle,Frankfurt,Germany,The World Tour,50.1106444,8.6820917
17,Apr,1989,Saarlandhalle,Saarbruecken,Germany,The World Tour,49.234362,6.996379
19,Apr,1989,Patinoire De Malley,Lausanne,Switzerland,The World Tour,46.5218269,6.6327025
21,Apr,1989,Football Stadium,Marbella,Spain,The World Tour,36.508976,-4.88562
22,Apr,1989,Velodromo Anoeta,San Sebastian,Spain,The World Tour,43.3224219,-1.9838889
23,Apr,1989,Palacio de Deportes,Madrid,Spain,The World Tour,40.4167047,-3.7035825
25,Apr,1989,Sports Palace,Barcelona,Spain,The World Tour,41.3825802,2.177073
26,Apr,1989,Verona Arena,Verona,Italy,The World Tour,45.4424977,10.9857377
27,Apr,1989,Palatrussardi,Milan,Italy,The World Tour,45.4641943,9.1896346
28,Apr,1989,The Palaeur,Rome,Italy,The World Tour,41.8933203,12.4829321
1,May,1989,Wiener Stadthalle,Vienna,Austria,The World Tour,48.2083537,16.3725042
2,May,1989,Wiener Stadthalle,Vienna,Austria,The World Tour,48.2083537,16.3725042
3,May,1989,Hallenstadion,Munchen,Germany,The World Tour,48.1371079,11.5753822
5,May,1989,Hallenstadion,Zurich,Switzerland,The World Tour,47.3744489,8.5410422
6,May,1989,Hallenstadion,Zurich,Switzerland,The World Tour,47.3744489,8.5410422
8,May,1989,Schleyerhalle,Stuttgart,Germany,The World Tour,48.7784485,9.1800132
17,May,1989,National Exhibition Center,Birmingham,England,The World Tour,52.4796992,-1.9026911
18,May,1989,National Exhibition Center,Birmingham,England,The World Tour,52.4796992,-1.9026911
19,May,1989,National Exhibition Center,Birmingham,England,The World Tour,52.4796992,-1.9026911
21,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
22,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
23,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
24,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
25,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
27,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
28,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
29,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
30,May,1989,Wembley Arena,London,England,The World Tour,51.4893335,-0.1440551
1,Jun,1989,Edinburgh Playhouse,Edinburgh,Scotland,The World Tour,55.9533456,-3.1883749
2,Jun,1989,Edinburgh Playhouse,Edinburgh,Scotland,The World Tour,55.9533456,-3.1883749
5,Jun,1989,Kings Hall,Belfast,Ireland,The World Tour,54.5975805,-5.9277097
6,Jun,1989,Kings Hall,Belfast,Ireland,The World Tour,54.5975805,-5.9277097
8,Jun,1989,RDS Stadium,Dublin,Ireland,The World Tour,53.3493795,-6.2605593
9,Jun,1989,RDS Stadium,Dublin,Ireland,The World Tour,53.3493795,-6.2605593
10,Jun,1989,RDS Stadium,Dublin,Ireland,The World Tour,53.3493795,-6.2605593
28,Jul,1989,Hartford Civic Center,Hartford,USA,The World Tour,41.764582,-72.6908547
29,Jul,1989,Civic Center,Providence,USA,The World Tour,41.8239891,-71.4128343
30,Jul,1989,Saratoga Performing Arts Center,Saratoga Springs,USA,The World Tour,43.0821793,-73.7853915
1,Aug,1989,Great Woods Performing Arts Center,Mansfield,USA,The World Tour,40.75839,-82.5154471
2,Aug,1989,Great Woods Performing Arts Center,Mansfield,USA,The World Tour,40.75839,-82.5154471
4,Aug,1989,Brendan Byrne Arena,East Rutherford,USA,The World Tour,40.833989,-74.0970865
6,Aug,1989,Brendan Byrne Arena,East Rutherford,USA,The World Tour,40.833989,-74.0970865
7,Aug,1989,Brendan Byrne Arena,East Rutherford,USA,The World Tour,40.833989,-74.0970865
8,Aug,1989,Shoreline Amphitheatre,Mountain View,USA,The World Tour,37.3893889,-122.0832101
9,Aug,1989,Lakefront Arena,New Orleans,USA,The World Tour,29.9559145,-90.0730259
10,Aug,1989,The Summit,Houston,USA,The World Tour,29.7589382,-95.3676974
11,Aug,1989,Starplex Amphitheater,Dallas,USA,The World Tour,32.7762719,-96.7968559
12,Aug,1989,Sandstone Amphitheater,Bonner Springs,USA,The World Tour,39.0597129,-94.8837597
15,Aug,1989,Great Western Forum,Los Angeles,USA,The World Tour,34.0536909,-118.242766
16,Aug,1989,Great Western Forum,Los Angeles,USA,The World Tour,34.0536909,-118.242766
18,Aug,1989,Great Western Forum,Los Angeles,USA,The World Tour,34.0536909,-118.242766
19,Aug,1989,Pacific Amphitheatre,Costa Mesa,USA,The World Tour,33.6633386,-117.903317
20,Aug,1989,Shoreline Amphitheatre,Mountain View,USA,The World Tour,37.3893889,-122.0832101
22,Aug,1989,Fiddlers Green Amphitheater,Denver,USA,The World Tour,39.7392364,-104.984862
24,Aug,1989,Universal Amphitheatre,Los Angeles,USA,The Who's Rock Opera,34.0536909,-118.242766
26,Aug,1989,Poplar Creek Music Theatre,Chicago,USA,The World Tour,41.8755616,-87.6244212
27,Aug,1989,Poplar Creek Music Theatre,Chicago,USA,The World Tour,41.8755616,-87.6244212
29,Aug,1989,Blossom Music Center,Cuyahoga Falls,USA,The World Tour,41.1362729,-81.4828123
30,Aug,1989,Deer Creek Music Center,Noblesville,USA,The World Tour,40.0455918,-86.0085955
1,Sep,1989,Pine Knob Music Theatre,Clarkston,USA,The World Tour,42.735863,-83.4188304
2,Sep,1989,Pine Knob Music Theatre,Clarkston,USA,The World Tour,42.735863,-83.4188304
3,Sep,1989,Pine Knob Music Theatre,Clarkston,USA,The World Tour,42.735863,-83.4188304
16,Sep,1989,Lakewood Amphitheater,Atlanta,USA,The World Tour,33.7544657,-84.3898151
17,Sep,1989,Lakewood Amphitheater,Atlanta,USA,The World Tour,33.7544657,-84.3898151
19,Sep,1989,Civic Arena,Pittsburgh,USA,The World Tour,40.4416941,-79.9900861
23,Sep,1989,Dean Smith Center,Chapel Hill,USA,The World Tour,35.9131542,-79.05578
25,Sep,1989,unknown,Montreal,Canada,The World Tour,45.5031824,-73.5698065
26,Sep,1989,Montreal Forum,Montreal,Canada,The World Tour,45.5031824,-73.5698065
30,Sep,1989,The Spectrum,Philadelphia,USA,The World Tour,39.9527237,-75.1635262
1,Oct,1989,The Spectrum,Philadelphia,USA,The World Tour,39.9527237,-75.1635262
2,Oct,1989,The Spectrum,Philadelphia,USA,The World Tour,39.9527237,-75.1635262
3,Oct,1989,Madison Square Garden,New York,USA,The World Tour,40.7127281,-74.0060152
4,Oct,1989,Madison Square Garden,New York,USA,The World Tour,40.7127281,-74.0060152
5,Oct,1989,Madison Square Garden,New York,USA,The World Tour,40.7127281,-74.0060152
6,Oct,1989,Madison Square Garden,New York,USA,The World Tour,40.7127281,-74.0060152
7,Oct,1989,Madison Square Garden,New York,USA,The World Tour,40.7127281,-74.0060152
14,Oct,1989,Orlando Arena,Orlando,USA,The World Tour,28.5421109,-81.3790304
15,Oct,1989,Orlando Arena,Orlando,USA,The World Tour,28.5421109,-81.3790304
17,Oct,1989,Capital Centre,Landover,USA,The World Tour,38.9253129,-76.8815433
18,Oct,1989,Veterans Memorial Coliseum,New Haven,USA,The World Tour,41.3082138,-72.9250518
22,Oct,1989,Charlotte Coliseum,Charlotte,USA,The World Tour,35.2272086,-80.8430827
31,Oct,1989,Royal Albert Hall,London,England,The Who Tour,51.4893335,-0.1440551
2,Nov,1989,Royal Albert Hall,London,England,The Who Tour,51.4893335,-0.1440551
27,Jan,1990,Entertainment Center,Perth,Australia,The World Tour,-31.9558967,115.8605784
28,Jan,1990,Entertainment Center,Perth,Australia,The World Tour,-31.9558967,115.8605784
29,Jan,1990,Entertainment Center,Perth,Australia,The World Tour,-31.9558967,115.8605784
1,Feb,1990,National Tennis Center,Melbourne,Australia,The World Tour,-37.8142454,144.9631732
2,Feb,1990,National Tennis Center,Melbourne,Australia,The World Tour,-37.8142454,144.9631732
3,Feb,1990,National Tennis Center,Melbourne,Australia,The World Tour,-37.8142454,144.9631732
5,Feb,1990,Derwent Center,Hobart,Australia,The World Tour,-42.8825088,147.3281233
6,Feb,1990,Derwent Center,Hobart,Australia,The World Tour,-42.8825088,147.3281233
7,Feb,1990,Derwent Center,Hobart,Australia,The World Tour,-42.8825088,147.3281233
10,Feb,1990,Memorial Drive,Adelaide,Australia,The World Tour,-34.9281805,138.5999312
11,Feb,1990,Memorial Drive,Adelaide,Australia,The World Tour,-34.9281805,138.5999312
14,Feb,1990,Entertainment Center,Brisbane,Australia,The World Tour,-27.4689623,153.0235009
15,Feb,1990,Entertainment Center,Brisbane,Australia,The World Tour,-27.4689623,153.0235009
17,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
18,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
20,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
21,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
23,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
24,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
25,Feb,1990,Entertainment Center,Sydney,Australia,The World Tour,-33.8698439,151.2082848
28,Feb,1990,Addington Showgrounds,Christchurch,New Zealand,The World Tour,-43.530955,172.6364343
1,Mar,1990,Mt Smart Stadium,Auckland,New Zealand,The World Tour,-36.852095,174.7631803
3,Mar,1990,Mount Smart Stadium,Auckland,New Zealand,The World Tour,-36.852095,174.7631803
7,Apr,1990,Hoosier Dome,Indianapolis,USA,Farm Aid IV,39.7683331,-86.1583502
8,May,1990,Beverly Hilton Hotel,Los Angeles,USA,lupus foundation benefit,34.0536909,-118.242766
17,May,1990,Chelsea Studios,New York,USA,MTV's Unplugged Concert,40.7127281,-74.0060152
18,May,1990,Mark G. Etess Arena,Atlantic City,USA,none,39.3642852,-74.4229351
19,May,1990,Mark G. Etess Arena,Atlantic City,USA,none,39.3642852,-74.4229351
20,May,1990,Mark G. Etess Arena,Atlantic City,USA,none,39.3642852,-74.4229351
30,Jun,1990,Knebworth Park,Hertfordshire,England,silver clef award winners,51.8400523,-0.0978552
11,Nov,1990,Grosvenor House,London,England,benefit With Ray Cooper,51.4893335,-0.1440551
10,Mar,1991,Carnegie Hall,New York,USA,Rainforest Benefit,40.7127281,-74.0060152
19,Mar,1991,Wembley Arena,London,England,George Michael Tour,51.4893335,-0.1440551
23,Mar,1991,Wembley Arena,London,England,George Michael Tour,51.4893335,-0.1440551
1,Apr,1991,Wembley Arena,London,England,joined Rod Stewart on stage,51.4893335,-0.1440551
20,Oct,1991,Rosemont Horizon,Rosemont,USA,George Michael Tour,41.9941334,-87.8756737
12,Mar,1992,Carnegie Hall,New York,USA,Rainforest Benefit,40.7127281,-74.0060152
15,Mar,1992,Grande Ole Opry House,Nashville,USA,Dee Murray Memorial (2 sets),36.1622767,-86.7742984
20,Apr,1992,Wembley Stadium,London,England,Freddie Mercury Memorial,51.4893335,-0.1440551
26,May,1992,The Spectrum,Oslo,Norway,The One Tour,59.9133301,10.7389701
27,May,1992,The Spectrum,Oslo,Norway,The One Tour,59.9133301,10.7389701
29,May,1992,Stockholm Stadium,Stockholm,Sweden,The One Tour,59.3251172,18.0710935
31,May,1992,Osterbro Stadion,Copenhagen,Denmark,The One Tour,55.6867243,12.5700724
1,Jun,1992,Westfallenhalle,Dortmund,Germany,The One Tour,51.5142273,7.4652789
2,Jun,1992,Westfallenhalle,Dortmund,Germany,The One Tour,51.5142273,7.4652789
4,Jun,1992,Festhalle,Frankfurt,Germany,The One Tour,50.1106444,8.6820917
6,Jun,1992,Nürburgring,Nürburg,Germany,The One Tour,50.3413391,6.9519229
7,Jun,1992,Bremen Weser Stadium,Bremen,Germany,The One Tour,53.0758196,8.8071646
9,Jun,1992,Olympia Hall,Munich,Germany,The One Tour,48.1371079,11.5753822
10,Jun,1992,Olympia Hall,Munich,Germany,The One Tour,48.1371079,11.5753822
11,Jun,1992,Castello Sforzesco,Milan,Italy,Convivio Benefit,45.4641943,9.1896346
12,Jun,1992,Olympia Hall,Munich,Germany,The One Tour,48.1371079,11.5753822
13,Jun,1992,Prater Stadium,Vienna,Austria,The One Tour,48.2083537,16.3725042
15,Jun,1992,Waldbuhne Amphitheatre,Berlin,Germany,The One Tour,52.5173885,13.3951309
16,Jun,1992,Waldbuhne Amphitheatre,Berlin,Germany,The One Tour,52.5173885,13.3951309
17,Jun,1992,Les Arenes,Nimes,France,The One Tour,43.8374249,4.3600687
18,Jun,1992,Hippodrome De Vincennes,Paris,France,The One Tour,48.8588897,2.320041
19,Jun,1992,Feyenoord Stadium,Rotterdam,The Netherlands,The One Tour,51.9244424,4.47775
21,Jun,1992,Sheffield Arena,Sheffield,England,The One Tour,53.3806626,-1.4702278
22,Jun,1992,Sheffield Arena,Sheffield,England,The One Tour,53.3806626,-1.4702278
26,Jun,1992,Wembley Stadium,London,England,The One Tour,51.4893335,-0.1440551
27,Jun,1992,Wembley Stadium,London,England,The One Tour,51.4893335,-0.1440551
28,Jun,1992,Wembley Stadium,London,England,The One Tour,51.4893335,-0.1440551
30,Jun,1992,National Indoor Arena,Birmingham,England,The One Tour,52.4796992,-1.9026911
1,Jul,1992,Forest National,Brussels,Belgium,The One Tour,50.8465573,4.351697
3,Jul,1992,Pontaise Stadium,Lausanne,Switzerland,The One Tour,46.5218269,6.6327025
4,Jul,1992,St. Jakob Stadium,Basel,France,The One Tour,47.603237,7.5243481
6,Jul,1992,Stadio Communale,Bologna,Italy,The One Tour,44.4938203,11.3426327
8,Jul,1992,Stadio Olympico,Rome,Italy,The One Tour,41.8933203,12.4829321
10,Jul,1992,Stadio Brianteo,Monza,Italy,The One Tour,45.6395418,9.2788304
11,Jul,1992,Nimes Open Air Arena,Nimes,France,The One Tour,43.8374249,4.3600687
12,Jul,1992,Nimes Open Air Arena,Nimes,France,The One Tour,43.8374249,4.3600687
13,Jul,1992,Plaza De Toros,Madrid,Spain,The One Tour,40.4167047,-3.7035825
15,Jul,1992,Betis Stadium,Seville,Spain,The One Tour,37.3886303,-5.9953403
16,Jul,1992,Lisbon Stadium,Lisbon,Portugal,The One Tour,38.7077507,-9.1365919
18,Jul,1992,Oviedo Stadium,Oviedo,Spain,The One Tour,43.3618625,-5.8483581
19,Jul,1992,La Corunna Real Stadium,La Coruna,Spain,The One Tour,43.3709703,-8.3959425
21,Jul,1992,Barcelona Stadium,Barcelona,Spain,The One Tour,41.3825802,2.177073
11,Aug,1992,Lakewood Amphitheater,Atlanta,USA,The One Tour,33.7544657,-84.3898151
12,Aug,1992,Lakewood Amphitheater,Atlanta,USA,The One Tour,33.7544657,-84.3898151
14,Aug,1992,Blockbuster Pavilion,Charlotte,USA,The One Tour,35.2272086,-80.8430827
15,Aug,1992,Walnut Creek Amphitheater,Raleigh,USA,The One Tour,35.7803977,-78.6390989
17,Aug,1992,Blossom Music Center,Cuyahoga Falls,USA,The One Tour,41.1362729,-81.4828123
19,Aug,1992,CNE Stadium,Toronto,Canada,The One Tour,43.6534817,-79.3839347
21,Aug,1992,Shea Stadium,New York,USA,The One Tour,40.7127281,-74.0060152
22,Aug,1992,Shea Stadium,New York,USA,The One Tour,40.7127281,-74.0060152
24,Aug,1992,Riverbend Music Center,Cincinnati,USA,The One Tour,39.1014537,-84.5124602
25,Aug,1992,Cynthia Woods Mitchell Pavilion,Woodlands,USA,The One Tour,39.8067425,-80.8170358
26,Aug,1992,Cynthia Woods Mitchell Pavilion,Woodlands,USA,The One Tour,39.8067425,-80.8170358
29,Aug,1992,Dodgers Stadium,Los Angeles,USA,The One Tour,34.0536909,-118.242766
30,Aug,1992,Dodgers Stadium,Los Angeles,USA,The One Tour,34.0536909,-118.242766
1,Sep,1992,unknown,San Francisco,USA,solo benefit concert,37.7792588,-122.4193286
2,Sep,1992,Fiddlers Green Amphitheater,Denver,USA,The One Tour,39.7392364,-104.984862
4,Sep,1992,Riverport Amphitheatre,Maryland Heights,USA,The One Tour,38.7150511,-90.435999
5,Sep,1992,Deer Creek Music Center,Noblesville,USA,The One Tour,40.0455918,-86.0085955
6,Sep,1992,Starwood Amphitheatre,Nashville,USA,The One Tour,36.1622767,-86.7742984
11,Sep,1992,Poplar Creek Music Theatre,Chicago,USA,The One Tour,41.8755616,-87.6244212
12,Sep,1992,Poplar Creek Music Theatre,Chicago,USA,The One Tour,41.8755616,-87.6244212
13,Sep,1992,Star Lake Amphitheater,Burgettstown,USA,The One Tour,40.3820133,-80.3928423
15,Sep,1992,Great Woods Performing Arts Center,Mansfield,USA,The One Tour,40.75839,-82.5154471
16,Sep,1992,Great Woods Performing Arts Center,Mansfield,USA,The One Tour,40.75839,-82.5154471
18,Sep,1992,Great Woods Performing Arts Center,Mansfield,USA,The One Tour,40.75839,-82.5154471
19,Sep,1992,Merriweather Post Pavilion,Columbia,USA,The One Tour,34.000754,-81.0352313
20,Sep,1992,Merriweather Post Pavilion,Columbia,USA,The One Tour,34.000754,-81.0352313
22,Sep,1992,The Spectrum,Philadelphia,USA,The One Tour,39.9527237,-75.1635262
23,Sep,1992,The Spectrum,Philadelphia,USA,The One Tour,39.9527237,-75.1635262
25,Sep,1992,Knickerbocker Arena,Albany,USA,The One Tour,42.6511674,-73.754968
26,Sep,1992,Carrier Dome,Syracuse,USA,The One Tour,43.0481221,-76.1474244
1,Oct,1992,Hartford Civic Center,Hartford,USA,The One Tour,41.764582,-72.6908547
2,Oct,1992,Madison Square Garden,New York,USA,The One Tour,40.7127281,-74.0060152
3,Oct,1992,Madison Square Garden,New York,USA,The One Tour,40.7127281,-74.0060152
5,Oct,1992,Madison Square Garden,New York,USA,The One Tour,40.7127281,-74.0060152
7,Oct,1992,Madison Square Garden,New York,USA,The One Tour,40.7127281,-74.0060152
9,Oct,1992,Madison Square Garden,New York,USA,The One Tour,40.7127281,-74.0060152
10,Oct,1992,Madison Square Garden,New York,USA,The One Tour,40.7127281,-74.0060152
11,Oct,1992,Madison Square Garden,New York,USA,Elizabeth Taylor Aids Foundation Benefit,40.7127281,-74.0060152
